"weekday","hour","n"
6,17,4
4,15,1
0,14,2
6,15,2
6,6,1
4,20,2
3,23,1
2,18,2
1,18,2
1,14,1
0,14,2
6,21,2
5,20,2
5,14,3
5,9,1
3,17,3
2,16,1
0,15,2
4,16,3
6,17,4
3,17,3
2,14,4
1,17,1
5,14,3
4,16,3
3,20,1
5,16,1
4,22,3
3,19,2
0,21,1
6,15,2
6,9,1
2,20,2
1,15,1
1,11,1
6,19,3
5,18,2
3,21,2
3,17,3
3,14,1
2,12,3
2,19,2
2,12,3
6,19,3
5,20,2
3,12,1
2,18,2
1,12,1
0,13,1
6,19,3
5,13,1
4,12,1
2,20,2
0,19,1
4,16,3
3,15,3
2,14,4
1,21,1
6,20,2
6,14,2
3,9,1
6,18,2
6,17,4
1,19,2
6,0,1
4,22,3
4,20,2
2,21,1
1,20,1
3,21,2
3,15,3
3,0,1
2,12,3
1,19,2
6,20,2
5,18,2
3,15,3
2,19,2
2,15,1
1,18,2
0,18,1
0,17,1
6,17,4
5,15,1
4,23,1
4,17,1
4,10,1
3,19,2
3,16,1
2,22,1
2,14,4
1,22,1
0,15,2
6,21,2
6,14,2
5,14,3
4,22,3
2,14,4
6,18,2
